text,label,source,subject,length
"Right now, 50 percent of Florida students leaving high school cannot read at grade level. a newspaper article",1,liar,education,18
Says Republican Sen. John McCain won more votes for president in Cuyahoga County in the 2008 general election than he did in seven states. a speech at a GOP dinner,1,liar,elections,30
Marco Rubio voted against funding health clinics that provide critical care during this public health emergency Zika. a TV ad,0,liar,"abortion,congress,health-care",20
SaysPeter Kilmartin voted in favor of expanding the good behavior statute to sex offenders. a news release,0,liar,"crime,voting-record",17
On letting Occupy Atlanta protesters stay in Woodruff Park. statements to the public,1,liar,"occupy-wall-street,public-safety",13
"There are more African American men in prison, jail, on probation or parole than were enslaved in 1850. a community forum",1,liar,"civil-rights,crime,criminal-justice,marijuana",21
"In first week as governor, Tim Kaine proposed a nearly 4 billion tax increase, 4 billion, including a tax increase on people earning as little as 17,000 a year. a speech.",1,liar,taxes,31
"On Lee Fishers watch, almost nine out of 10 jobs that Ohio lost were lost to other states, not to other countries. an appearance at The Plain Dealer",1,liar,economy,28
Every president has raised the debt ceiling. an interview on Hannity on Fox News,1,liar,"deficit,federal-budget",14
Limiting labor negotiations to only wages is how it is for the most part in the private sector. an appearance on a TV interview program,0,liar,"labor,state-budget",25
"Says on contraception, his plan is cheaper and easier for you than Sen. Mark Udalls a campaign ad",0,liar,"health-care,message-machine-2014,women",18
"Families in Del Valle, who are City of Austin residents, have to drive to Bastrop to go to the closest grocery store. as quoted in a news story",0,liar,"hunger,population",28
Mark Warner voted for nearly 1 trillion in new taxes and 7 trillion in new debt. a web ad.,1,liar,"debt,federal-budget,taxes,voting-record",19
State government spending will be increase 10.7 percent this year. a debate,0,liar,"government-efficiency,job-accomplishments,state-budget",12
Says Democrats first proposed prohibiting the government from negotiating prices for prescription drugs in Medicare Part D and he had nothing to do with that provision in the law. a debate,0,liar,"candidates-biography,health-care,medicare",31
The typical white male worker in this country is making in real terms what he was making in 1973 and the average worker is making what they were making in 1996. a speech to the New Hampshire Institute of Politics,1,liar,"economy,new-hampshire-2012,workers",40
"A United Nations arms treaty would almost certainly force the U.S. to create an international gun registry, setting the stage for full-scale gun confiscation. a YouTube video",0,liar,"guns,human-rights,trade",27
More people die from medical misadventures than firearm accidents nationally and in Florida. a fact-sheet.,1,liar,"guns,health-care",15
"When we took office, let me remind you, there was virtually no international pressure on Iran. a speech",0,liar,foreign-policy,18
The minimum wage is mostly an entry-level wage for young people. an interview with Fox News Sunday,1,liar,income,17
Says six studies verify that the math adds up for Mitt Romneys tax plan. the vice presidential debate,0,liar,taxes,18
"In the last few months alone, we have apprehended extremists within our borders who were sent here from the border region of Afghanistan and Pakistan to commit new acts of terror. a speech at the United States Military Academy.",1,liar,afghanistan,39
"As governor, Ive stood up to ... the big oil companies. Dayton, Ohio",1,liar,energy,13
"This year, were off to our best private-sector jobs growth since 1999. a speech in Chattanooga, Tenn.",1,liar,"economy,jobs",17
"Says abortion doctors are flying into this state, performing abortions and flying out. a debate on the state House floor.",0,liar,"abortion,health-care,public-health",20
"Speaker Gingrich for 20 years supported a federal individual mandate for health insurance. a Republican presidential primary debate in Tampa, Fla.",1,liar,"health-care,legal-issues",21
There have been at least 100 shootings each year Angel Taveras has been mayor of Providence. a campaign mailing,1,liar,"candidates-biography,crime,guns,job-accomplishments,campaign-advertising,public-safety",19
Maurice Ferre says Kendrick Meek has voted 98.6 percent of the time with the Democrat party. an editorial meeting.,1,liar,voting-record,19
One in four inmates is an illegal immigrant. an interview on Fox,0,liar,immigration,12
Wisconsin is dead last in income growth among midwestern states during Gov. Scott Walkers term. various blogs and Internet comments,1,liar,"economy,income,workers",20
"A three-cents-per-ounce soda tax in Philadelphia would result in the loss of 2,000 family-sustaining Teamster Union jobs and countless other jobs in the beverage industry. a statement",0,liar,taxes,27
I have had the challenge during this administration to suspend no less than 37 public officials in about 36 months. Associated Press annual legislative meeting,1,liar,florida,25
Kendrick Meek was 1 in Florida in taking tobacco cash and then opposed a tax on cigars that would have helped pay for childrens health care. a campaign flier,0,liar,"campaign-finance,candidates-biography",29
"Federal Reserve policies have led to a 69 percent rise in corn prices, 44 percent rise in wheat prices and 15 percent spike in sugar prices over the last year. remarks to the Senate Tea Party caucus meeting.",0,liar,"agriculture,energy,hunger",38
Ninety percent of Texans say they do not want the nursing homes to close. It polls higher than anything else. remarks on the House floor,1,liar,"health-care,housing,state-budget",25
Race to the Top grants require participating states to adopt the Common Core standards as a condition for receiving federal funding. a statement on his campaign website,0,liar,education,27
"McCain sought the political support of minister John Hagee, who believes Hurricane Katrina was Gods punishment for gay rights and called the Catholic Church the Antichrist and a false cult. an e-mail message",1,liar,religion,33
Says 51 percent of federal tax filers paid zero federal income tax. a statement on his website,1,liar,taxes,17
"Because of the 2011 debt ceiling fight, the stock market lost 2,000 points. an interview on ABCs This Week",1,liar,economy,19
"Since Wisconsin Gov. Scott Walker took office, we are losing jobs at rates not seen in decades. an opinion column",0,liar,"job-accomplishments,jobs",20
"Says U.S. Senate rival Tammy Baldwin supports a tax increase that President Obama says would cost middle-class families 3,000 per year. a TV ad",0,liar,"congress,families,message-machine-2012,taxes",24
I would be the first Republican senator elected in New Jersey in 41 years. an interview on the John Gambling radio program,1,liar,"congress,elections",22
Wisconsins attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time. a blog post,1,liar,climate-change,26
"Says unions take away hard-earned money of teachers, firefighters and police officers to play politics. a campaign-style ad.",0,liar,unions,18
President Bush never did one interview with the New York Times during his entire presidency. The Rachel Maddow show,0,liar,"bush-administration,pundits,transparency",19
"14,000 Americans . . . lose their health insurance every single day. a news conference.",1,liar,health-care,15
"Mr. Trump is self-financing his campaign, so we dont have any donors. a radio interview.",0,liar,campaign-finance,15
"Nearly 2,000 high schools - roughly 12 percent of all secondary schools in the United States - produce about half of the nations dropouts. a news release.",1,liar,education,27
"Embryonic stem cell research is at a dead end, with no one good example of a successful treatment. a mock debate",0,liar,"health-care,message-machine-2012,science",21
Says Libya Ambassador Christopher Stevens sent 600 requests for help in Benghazi. the second 2016 presidential debate,0,liar,"foreign-policy,government-efficiency,history,terrorism",17
Tens of thousands of Atlanta households pay more than 30 percent of their income towards rent. an opinion piece in the Saporta Report,1,liar,housing,23
"Rick Perry had planned to retire from the legislature until his best friend, David Weeks, and I talked him into switching parties and running for the GOP nomination for agriculture commissioner. his autobiography",1,liar,"candidates-biography,elections",33
"As the usage of synthetic marijuana has dramatically increased, instances of violence, bodily harm and even death have risen with it. a press release",1,liar,"drugs,marijuana",24
"Out of 150,000 tenured teachers in the last 10 years, only 17 have been dismissed for incompetence. a speech at the Harvard Graduate School of Education",1,liar,education,26
The Providence teacher contract is one of the longest in the country. an interview,0,liar,"education,labor,unions",14
Look at the debt that has been accumulated in the last two years. Its more debt under this president than all those other presidents combined. an interview with Fox News Greta Van Susteren,0,liar,"deficit,federal-budget,history",33
Annual precipitation has increased in Rhode Island by over 12 inches in the last century. a commentary in The Providence Journal,1,liar,"climate-change,history,science,weather",21
The state budget proposal has been submitted on time and its the earliest that a governor has done so in over two decades. his State of the State address,1,liar,"government-efficiency,history,state-budget,state-finances",29
Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV. a news conference,1,liar,elections,21
Vietnamese is the third most commonly spoken language in Texas. Senate floor remarks,1,liar,"population,states",13
"What we have now is the most generous, in my opinion, good time bill in the entire United States. a radio interview",0,liar,"crime,criminal-justice,legal-issues,public-safety,states",22
There is no Plan B if the transportation referendum is not passed by voters. a speech,0,liar,transportation,16
"The most likely triggering cause of microcephaly is the DTaP shot, a vaccine that had been recently mandated by the Brazilian government to be injected into pregnant women. an article posted on the groups website",0,liar,public-health,35
Our economy still has three people looking for every job opening. an interview on CNNs State of the Union,1,liar,"economy,jobs,labor",19
Says she got unions to agree to about 10 million in reduction of salaries and health benefits while serving as Dane County executive in Wisconsin. a TV interview,1,liar,"county-budget,county-government,labor,unions",28
Democrats have lost more than 900 state legislators since Barack Obama has been president. comments on ABCs This Week,1,liar,"candidates-biography,elections",19
"Carly Fiorina, shes against banning assault weapons. a campaign ad",1,liar,"guns,message-machine",10
"Hillarys baby bond proposal would give 5,000 to each of the 4-million babies born in the U.S. each year, totaling 20-billion per year, multiplied by four years 80-billion. a Web site.",0,liar,federal-budget,31
If Rhode Island does a hybrid retirement plan well be the first state in the nation to do this. in a hearing,0,liar,"pensions,public-service,retirement,workers",22
"Before the terrorist attacks in Benghazi, the State Department not only failed to honor repeated requests for additional security, but instead actually reduced security in Libya. an opinion article",1,liar,"foreign-policy,military,terrorism",29
Failure to raise the debt limit does not force a U.S. default on debt payments. a statement.,1,liar,"deficit,economy,federal-budget",17
Democrats in the Legislature in 2009 voted for various pork projects including a 5 million scoreboard for the Milwaukee Bucks. a television ad,0,liar,state-budget,23
Bill McCollum holds the same position on embryonic stem cell research as Barack Obama. a campaign mail piece.,1,liar,"abortion,science",18
"In 1999, the NRA leadership in Washington, pretty much the same people intact, were for expanded background checks. an interview on MSNBC",1,liar,guns,22
Turkey is an Arab country. a roundtable discussion on ABCs This Week,0,liar,"foreign-policy,pundits,abc-news-week",12
Newt Gingrichs presidential campaign has exactly the same challenges as Ronald Reagans successful 1980 bid. a television interview,0,liar,history,18
The number of people in Atlanta dying from HIV and AIDS declined 59 percent between 2004 and 2012. a press release,1,liar,public-health,21
"8 years of the Clintons, major losses for Democrats across the nation. a flyer sent prior to Super Tuesday",1,liar,elections,19
92 percent of the jobs lost during Barack Obamas first term belonged to women. the third Republican presidential debate,0,liar,"jobs,women",19
"It used to be the policy of the Republican Party to get rid of the Department of Education. We finally get in charge and a chance to do something, so we double the size of the Department of Education. a debate in Johnston, Iowa",1,liar,education,44
We have 395 inmates pushed into triple-bunked cells intended for two inmates and bunked in classrooms and areas supposed to be designated for inmate labor. a guest column,0,liar,"public-safety,state-budget,unions",28
"The ACLU didnt call for an investigation of the Newark police department, they called for an immediate federal monitor. a radio interview on the Brian Lehrer show",0,liar,"crime,ethics",27
Says his executive order requiring young girls to be vaccinated against HPV wasnt mandatory. a debate,0,liar,"families,health-care",16
Says a highway was closed in El Paso because of bullets flying across the border. an interview,1,liar,"crime,drugs,homeland-security",17
"If the House of Representatives fails to extend the middle-class tax cuts, 400,000 middle-class Rhode Island families will see their federal income taxes increase. a report",0,liar,"economy,families,federal-budget,income,taxes",26
95 percent of the income gains in the last few years have gone to the top 1 percent. comments on NBCs Meet the Press,1,liar,"income,jobs",24
"Eight out of the nine states with competitive Senate races, Hispanics make up less than 10 percent of the electorate. a comment on Meet the Press.",1,liar,"diversity,elections,population",26
We didnt go out and take information from the Hillary Clinton campaign. an interview on NBCs Meet the Press.,0,liar,elections,19
"Says Nikita Khrushchev brought an extra shoe to a United Nations session in 1960, which he banged on the desk in protest. a Providence Journal commentary",0,liar,history,26
Jim Renacci voted repeatedly to end Medicare. a campaign email,0,liar,"health-care,medicare",10
"Sen. Joe Liebermans home state has a public option which covers about 10,000 of its citizens that was introduced by its Republican governor. Countdown with Keith Olbermann",1,liar,"health-care,pundits",27
"Says this months special session will cost the state 27,300 a day just for legislators daily living expenses. a tweet",1,liar,"government-efficiency,state-finances",20
Wind powers nearly 13 million homes across the country. a news release,1,liar,environment,12
"Says businesses pay roughly 60 percent of taxes in Texas. a press conference with Gov. Rick Perry, April 15, 2013",1,liar,"state-budget,taxes",20
Health insurance companies pay CEOs 24 million a year a television advertisement,0,liar,"corporations,health-care",12
Says Donald Trump wants to deport our Dreamers. a TV ad,1,liar,immigration,11
Says Barack Obama is apparently not for vetting people and saying just anybody can come to the United States. a radio interview,0,liar,"homeland-security,terrorism",22
Says a lawmaker seeks to defund Planned Parenthood for cutting children into small pieces. a web post,1,liar,abortion,17
Says Oregon is near the top or at the top of the list when it comes to capital gains tax a legislative hearing,1,liar,"state-budget,taxes",23
The No. 1 issue that the American people care about is getting America back to work. a televised interview,1,liar,"economy,health-care",19
Says in 1944 we were in debt more than twice as much as we are now. a telephone town hall meeting,0,liar,"deficit,economy,federal-budget",21
Says Ronda Storms voted to fund the Taj Mahal courthouse. a campaign mailer,1,liar,"message-machine-2012,state-budget",13
"In France, they have a surveillance program a thousandfold more invasive than the United States. an interview on NBCs Meet the Press",1,liar,"homeland-security,terrorism",22
Last week the Blue Chip Economic Indicators came out that surveys lots of private forecasters. Almost all of them are predicting a turnaround in the third quarter and positive growth in the fourth quarter. an interview on Meet the Press.,1,liar,economy,40
"Since the United States began negotiations with Iran, thats probably the first year and a half in which Iran has not advanced its nuclear program in the last decade. comments on CNNs State of the Union",1,liar,"foreign-policy,nuclear",36
"Says Ohios I-X Center used to be a great plant, but thousands of people of worked here, and they left when their jobs were moved overseas. a rally outside Cleveland",0,liar,"corrections-and-updates,jobs",30
"Under a new law, doctors performing drug-induced abortions could be charged if women dont return to them for follow-up care an interview",0,liar,"abortion,legal-issues,women",22
Says veterans disability claims backlog doubled in Obamas first term. a tweet,1,liar,veterans,12
"At a minimum, 40 percent of those who view child pornography end up molesting children as a result. a news conference",0,liar,"children,crime",21
Romney adviser admits Romneycare was blueprint for Obamacare. a television ad,1,liar,"candidates-biography,health-care,message-machine-2012",11
"Its hard to get people in Portland to vote yes on ballot measures, especially when theres opposition. a statement",0,liar,"campaign-finance,voting-record",19
The nytimes sent a letter to their subscribers apologizing for their BAD coverage of me. a tweet,0,liar,elections,17
Some businesses in Oregon are having to shrink back their businesses as a result of the law. a town meeting in La Grande,1,liar,"corrections-and-updates,health-care",23
I have 2 and a half million more votes than he Sanders does. an interview on ABCs the View,1,liar,elections,19
"Says he worked with the Democratic legislature to balance spending with revenues so that at the end of my four-year term, the rainy day fund was established at more than 2 billion. a speech to a Manchester, N.H. Rotary club",1,liar,"economy,new-hampshire-2012,state-budget,state-finances",40
"In 2010 alone, 1,270 infants were reported to have died following attempted abortions and notably that is only one year. a committee hearing on SB 1636",0,liar,abortion,26
Says the No. 2 cause of death in the U.S. for women under 50 is being killed by their spouse or domestic partner. a floor speech.,0,liar,"crime,families,women",26
"Just about everyone everywhere is spending more hours on the job, less time with their families, bringing home smaller and smaller paychecks, while theyre paying more and more at the gas pump and the grocery stores. a campaign speech",1,liar,"economy,income,jobs,labor,workers",39
The hour of sleep you lose during the change to daylight saving time might initially pose some health risks. a blog,1,liar,science,21
I am the first Latina to run for governor of Texas. her campaign website,0,liar,"candidates-biography,diversity,elections,history",14
Says Every legislative district in the state has at least one craft brewery and countless home brewers. a floor speech,0,liar,"Alcohol,economy",20
"Wisconsins criminal threshold for drunken-driving is way out of line with states surrounding us, which have the second offense as a felony. legislative testimony",0,liar,"Alcohol,criminal-justice,state-budget,transportation",24
"In Ohio, we invested in our children, raising school funding by 5.5 percent in the last budget. a campaign speech",0,liar,education,20
"The poverty level in the Dallas school district is one of the highest in the country, higher than New York, Chicago, Los Angeles, Houston, Detroit and Newark. an opinion article in the Dallas Morning News.",1,liar,"education,poverty",35
"Says in the last six months of the Bush administration, the U.S. lost 3.5 million jobs, including 760,000 jobs during January 2009 alone. a speech at Keene State College",1,liar,"economy,job-accomplishments",29
"In 2007, when Nancy Pelosi met with President Assad of Syria, nobody got upset. remarks on Foxs Hannity",0,liar,"bush-administration,foreign-policy,terrorism",18
"For the past eight years, Gov. Carcieri and Mrs. Carcieri would host the lighting of the State House Christmas tree. a talk-show discussion",0,liar,religion,23
Rhode Island has the the second-most heavily deployed National Guard in the United States. a speech,1,liar,"afghanistan,iraq,military,states",16
Nearly 90 of Travis County government races will be settled by the time of the Democratic primary. an opinion column in the Austin American-Statesman,1,liar,"county-government,elections",24
"Says Mahatma Gandhi once said, First they ignore you, then they laugh at you, then they fight you, then you win. an Instagram meme",0,liar,history,24
The American people will be appalled to learn the health care bill exempts congressional leadership and committee staff. comments to reporters,1,liar,health-care,21
Says the number of Americans living at or below the poverty line is at its highest level since 1964. a speech on the Senate floor,1,liar,poverty,25
The IRS will have the ability potentially to deny or delay health care. an interview on Fox News On the Record with Greta Van Susteren,0,liar,"health-care,taxes",25
"Deregulation of the states telecommunications industry will create 50,000 jobs in Wisconsin. interviews and testimony about the bill",0,liar,jobs,18
"We admit about 100,000 permanent immigrants from the Middle East every year. a speech in Youngstown, Ohio",1,liar,immigration,17
Says paid family leave is a program that is standard in all but five nations around the world. a flier,1,liar,"children,families,labor,women,workers",20
"Nearly 14,000 Wisconsinites have lost their job since Governor Walker and the Republicans took over in January. a news release",0,liar,jobs,20
"For the average middle-class family, your taxes today are lower than when I took office. a speech in Scranton, Pa.",1,liar,"job-accomplishments,taxes",20
Barack Obama passed laws moving people from welfare to work. a television ad,1,liar,poverty,13
"Says Mitt Romney is wrong to claim that spending under Obama has accelerated at a pace without precedent in recent history, because its actually risen slower than at any time in nearly 60 years. on the Internet",1,liar,"corrections-and-updates,economy,federal-budget,history,stimulus",37
Says President Barack Obama promised a pathway to citizenship to undocumented immigrants and didnt deliver jack squat on any of it. an interview,1,liar,"children,families,homeland-security,immigration",23
California has robust job growth that outpaces the rest of the nation. a press release,1,liar,"climate-change,economy,energy,jobs",15
"The Richardson-Denish administration gave 50,000 drivers licenses to illegal immigrants in New Mexico. a campaign ad",0,liar,"immigration,message-machine",16
"If youre a Mexican, you get sent back. ... But if youre from a noncontiguous country like the Central American countries then you can stay in the United States. an interview on CNNs State of the Union",1,liar,"children,human-rights,immigration",37
"Says the United States actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since, I think, 1949. a video posted on YouTube",1,liar,energy,30
Says Richard Burr was one of only three senators who voted against a ban on insider trading for members of Congress. And he called that vote brave. a debate,1,liar,"congress,congressional-rules,ethics,legal-issues,voting-record",29
Rhode Island is the only state where officers at state-supported colleges carry out their duties unarmed. a news release,1,liar,"education,guns,public-safety,states",19
Says the United States has the highest corporate tax rate in the world. a debate on NJTV,1,liar,"corporations,taxes",17
"It was allowed, referring to her email practices. an interview on ABC",0,liar,"homeland-security,technology",12
The law is very clear! The monies recouped from the TARP shall be paid into the general fund of the treasury for the reduction of the public debt. a Senate budget hearing,1,liar,economy,32
"Our veterans, in many cases, are being treated worse than illegal immigrants. a speech in Philadelphia",0,liar,"immigration,veterans",16
"Says Rob Portman was a registered foreign agent whose client was Haiti, at a time when the Baby Doc, Duvalier, who was a despot, was killing people. the U.S. Senate debate in Cleveland",0,liar,"corrections-and-updates,foreign-policy",33
Says President Barack Obamas acceptance of an Islamic order and gold medal was unconstitutional. viral posts on the Internet,0,liar,"foreign-policy,legal-issues",19
"In 2010, the non-partisan Government Accountability Office found that only 6.5 percent of the U.S.-Mexico border was under full control of the Border Patrol. a flier mailed to constituents",1,liar,immigration,29
"Demand for transportation choice is on the rise, with 14 percent more Ohioans riding passenger trains over the past year. a news release",1,liar,"federal-budget,infrastructure,transportation",23
A poll conducted in Egypt revealed that 80 percent of Egyptians oppose receiving foreign aid from the United States. a story on 630WPRO.com,1,liar,"federal-budget,foreign-policy",23
We spend twice as much per capita on health care as any other nation on Earth. an appearance on the Rachel Maddow Show,0,liar,health-care,23
Says the Texas Education Agency follows up to make sure undocumented immigrants paying in-state tuition at Texas colleges are applying for permanent residency. a debate,0,liar,immigration,25
Says 18 states and the District of Columbia have voted Democratic in six consecutive presidential elections. comments on Foxs Fox News Sunday,1,liar,elections,22
Hidden in the healthcare.gov code is language that means users waive any reasonable right to privacy of your personal information. a Fox News interview,0,liar,"health-care,privacy,technology",24
One of the most recent polls said 75 percent of the American people have said either dont do anything or start over on health care reform. an interview on Fox News,1,liar,health-care,31
Most military experts say there is anywhere between 25 and 30 members of al Qaeda in Afghanistan. a radio interview,0,liar,afghanistan,20
"In Cranston, it costs 5,000 to 6,000 to send out community notifications on just one Level 3 sex offender. a House Finance Committee hearing",0,liar,"children,crime,criminal-justice",24
"The United States is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines. a speech at the Iowa Faith and Freedom Summit",0,liar,military,27
"Every year we spend roughly 500 billion on tax compliance. That is roughly the budget of our entire military, entirely wasted on tax compliance. a roundtable with Texas businesses",0,liar,"federal-budget,military,taxes",29
"They say teachers only make on averagein New Jersey 60,000 dollars a year.They only work 180 days. a speech at Notre Dames law school",1,liar,education,24
Exporters are using a federal loophole to deceptively sell products made from cat and dog fur to U.S. consumers. a statement,1,liar,trade,21
The city of Atlanta has either the highest or second-highest average water bills in the country. a meeting,1,liar,"taxes,water",18
"Mitt Romneys and Bain Capitals profits from KB Toys, which later went out of business, were described by the Boston Herald as disgusting. the video, When Mitt Romney Came to Town",0,liar,"candidates-biography,message-machine-2012",31
Roy Coopers refusal to do his job is costing taxpayers money. a press release,0,liar,"ethics,legal-issues,public-service,states",14
"In exchange for five minutes with Bill Clinton, the government of Qatar was going to give 1 million to the Clinton Foundation. comments on Meet the Press",1,liar,foreign-policy,27
Speaker Rubio supported gun restrictions that included background checks and waiting periods. a news release,1,liar,guns,15
Salaries of Austin residents who dont work for city government have not been going up 3 percent a year for the last several years. an Austin City Council meeting,1,liar,"city-budget,city-government,economy,jobs",29
Did you know that in 2013 over 50 percent of all babies born in Oregon were Hispanic? a newsletter,0,liar,"children,diversity,education",19
We are one of only two states to have eight consecutive months of declining unemployment. Twenty-one states had increased unemployment last month. Ours went down. an interview with The Plain Dealer,1,liar,"economy,job-accomplishments,jobs",31
Barack Obama wants to unilaterally disarm our nation. a chain e-mail,0,liar,military,11
Milwaukees problems include 52 percent black male unemployment. a TV interview,0,liar,"economy,jobs",11
Rob Cornilles has disputed for two years a news story that said he said he would cut Social Security and Medicare programs before trimming the U.S. defense budget. a debate,0,liar,"medicare,social-security",30
Says Texas Railroad Commissioner Michael Williams has attended more than 150 tea party gatherings. a newspaper article.,0,liar,"bipartisanship,candidates-biography",17
Harry Reid has voted to give special tax breaks to illegal aliens. a campaign commerical,0,liar,"immigration,message-machine,taxes",15
Job growth in the United States is now at the fastest pace in this countrys history. an interview on CNNs New Day,0,liar,"economy,jobs",22
Atlanta has issued an increasing number of citations - and collected an increasing amount of revenue - since Mayor Kasim Reed took office in 2010. an email from a reader,1,liar,"crime,public-safety",30
"Says he was known as Veto Corleone for cutting spending as Florida governor. a meeting with business leaders in Portsmouth, N.H.",1,liar,state-budget,21
The last time Republican U.S. Senate candidates beat more than two incumbents was 1980. comments on CNNs State of the Union,1,liar,elections,21
On how to respond to Puerto Ricos debt crisis. a radio ad,1,liar,"debt,deficit",12
The State of Rhode Island has the worst state-funded pension in the country. an introduction to a radio interview,0,liar,"deficit,pensions,state-budget,state-finances",19
"More than any Republican governor in the 2014 elections, I took a higher percentage of the Republican voteand yet I also carried independents by 12 points. an interview",1,liar,"candidates-biography,elections,job-accomplishments,states",28
"After the 2012 redistricting, Wisconsin has competitive congressional districts. a speech",0,liar,redistricting,11
John McCain was even mentioned as a running mate with John Kerry. a TV ad,1,liar,elections,15
"Ive cast a couple of 99-1 votes and been the lone dissenter. a speech in Sioux City, Iowa",1,liar,candidates-biography,18
Says hes never asked for more than inflationary budget increases in his 10 budgets as Milwaukee County sheriff a radio interview,0,liar,"county-budget,criminal-justice",21
"Under New York Mayor Bill de Blasio, homicides are up by 20 percent, and subway delays have soared 45 percent. a commentary on Fox News.",0,liar,"crime,transportation",25
And delivered more tax relief than the other Republicans combined. a TV ad,1,liar,taxes,13
"Says U.S. Rep. Lamar Smith supported the 700 billion Wall Street bailout in 2008, but now he is standing in the way of reforms that would assure these bailouts would never happen again. an e-mail blast",0,liar,"campaign-finance,economy,financial-regulation",36
7 out of 10 Oregon families living in poverty have at least one parent who works. website materials,1,liar,"children,families,income,poverty,welfare",18
Ninety-seven percent of the time. Thats how often Mark Warner votes with President Obama. a web ad.,1,liar,"message-machine-2014,voting-record",17
Says Rick Perry is a 25-year incumbent. a press release,0,liar,"candidates-biography,job-accomplishments",10
"Says an array of statistics show that conditions in some parts of Baltimore rival that of the West Bank in Palestine, North Korea, and distressed cities in Nigeria, India, China and South Africa. a speech",1,liar,"poverty,public-health",35
The numbers make it clear that Georgia voters are increasingly taking advantage of early voting opportunities. statement,1,liar,education,17
Says Ocean Spray is moving its Bordentown processing facility to Pennsylvania largely because of costs associated with the Regional Greenhouse Gas Initiative. a press release,0,liar,"cap-and-trade,climate-change,economy",25
Rhode Island is almost dead last among Northeastern states in the length of time first-degree murderers must spend in prison before theyre eligible for parole. a news conference,1,liar,"crime,criminal-justice,legal-issues,states",28
"All the really great programs in American history, Social Security, was done without Republicans. Medicare was done without Republican support until the last vote where they realized they had to get on board. an interview on the Rachel Maddow Show",0,liar,"health-care,history,medicare",40
Diane Black voted to fund Obamacare. in an ongoing radio commercial.,0,liar,"congress,congressional-rules,health-care",11
"Hurricane Sandy, the most destructive Atlantic storm ever. an online post about global warming",0,liar,"climate-change,environment,weather",14
"The Hispanic population in Gwinnett and Henry counties has increased by 153 percent and 339 percent, respectively, since 2000 while Republican presidential candidates are getting a smaller percentage of the vote in those counties. an op-ed",1,liar,elections,36
"I was the most bipartisan senator in the United States Senate. a meeting with Republicans in Portsmouth, N.H.",1,liar,"bipartisanship,voting-record",18
"Says Gov. Scott Walker raises the pay of inmates, but we dont raise the pay of staff in our correctional institutions. an interview",0,liar,"criminal-justice,income,state-finances,unions,workers",23
The current debate over authorizing military action against the Islamic State would be the first time Congress would place limits on the commander-in-chiefs ability to be commander-in-chief. an appearance on ABCs This Week,0,liar,"congress,history,military,terrorism",33
U.S. debt is now equal to 100 percent of the GDP. a news release,1,liar,"deficit,federal-budget",14
Tom Ganley supports a 23 percent national sales tax that would raise taxes on the middle class while giving a huge tax break to millionaires like himself. a statement posted on a website,0,liar,taxes,33
The marijuana that kids are smoking today is not the same as the marijuana that Jeb Bush smoked 40 years ago. the CNN Republican debate,1,liar,drugs,25
Barack Obama voted against born alive legislation in Illinois that was virtually identical to the federal law. a published piece on their Web site,1,liar,abortion,24
"Says Trump shirts are made in Bangladesh, Trump suits in Mexico, Trump Vodka in the Netherlands, Trump crystal barware in Slovenia and his cufflinks and ties in China. a video shown at the Democratic National Convention",1,liar,"candidates-biography,corrections-and-updates,jobs",36
"Says President Barack Obama has opened up no new trade relationships with other nations. a Republican presidential debate in Manchester, N.H.",0,liar,"economy,foreign-policy,new-hampshire-2012,trade",21
Says taxpayer subsidy for the Oregon Convention Center hotel jumped 100 million in closed-door sessions a website statement,1,liar,transparency,18
"Says you can buy four light bulbs for 1.99 at Walmart, while a single compact fluorescent lamp CFL costs 10 a pop. a speech at The Heritage Foundation.",0,liar,"energy,market-regulation",28
"Jeb Bush, not the State of Florida, decided which private emails to disclose. an online post",1,liar,transparency,16
History tells us that job growth always lags behind economic growth. remarks from the White House,1,liar,economy,16
Bill Howell has been the consistent force behind every major tax increase in Virginia in the last decade. a news release.,1,liar,"taxes,voting-record",21
"More than 9,000 Rhode Island voters used the Moderate Party master lever mechanism and they didnt have a single Moderate on their ballot. a television interview",1,liar,elections,26
"Obama says Iran is a tiny country, doesnt pose a serious threat. a TV ad airing in Florida",0,liar,foreign-policy,18
We spend three times more on entitlements and debt services than we do on defense. a Facebook posting,1,liar,"federal-budget,social-security",18
"In the 2014 elections, the American people overwhelmingly said we dont want Obamacare and we dont want amnesty. an interview on Fox News",0,liar,"health-care,immigration,polls",23
Says Merrick Garland authored an opinion that resulted in the release of 17 Guantanamo Bay prisoners who were part of a group of violent Islamist extremists the State Department had designated as terrorists.,0,liar,"foreign-policy,military,supreme-court,terrorism",33
"Congress has 11 percent approval ratings, yet 96.4 percent of incumbent lawmakers were re-elected in 2014. a meme on social media",1,liar,congress,21
Letting the Bush tax cuts expire would raise taxes on small businesses. a TV interview.,0,liar,"economy,small-business,taxes",15
"Statistics bear out that any time a country, a state, makes more restrictive abortion laws ... fatalities go up and abortions actually increase. a news conference",0,liar,"abortion,government-regulation,women",26
